id,name,postcode,address,lat,lng,rating,rating_num,renovation_year,price_low,URL
28,St Mark's Court,LS6 2 QJ,"St Mark's Road, 利兹 LS6 2QJ, 英国",53.799068,-1.560792,5,4,1996,200,https://amberstudent.com/places/st-mark-s-court-leeds-2604133458308?utm_source=google_adwords&utm_campaign=performance_max_TestPrepConsultancies_all&utm_content=Pmax_TestPrepConsultancies_asset_group&utm_medium=cpc&keyword=&gad_source=1&gad_campaignid=21349890458&gbraid=0AAAAACSitS7Vi8H247f75rSvFxaXFFCXG&gclid=CjwKCAjwwJzPBhBREiwAJfHRnchABOfnGyrBL6POaW-oLmwJaCK8k6uQuPhrxgvpXIGTrwWEIxA9NRoCDooQAvD_BwE
29,Pennine House,LS1 5RN,"Russell Street, 利兹 LS1 5RN, 英国",53.811357,-1.551734,4.1,9,2017,193,https://en.uhomes.com/uk/leeds/detail-apartments-14686
30,Algernon Firth,LS1 3AR,"Saint George's Road, 利兹 LS1 3AR, 英国",53.79822,-1.548033,3.3,3,2008,133,https://ypp.co.uk/
31,Headrow Court,LS1 2QJ,"Park Cross Street, 利兹 LS1 2QJ, 英国",53.801891,-1.553626,3.7,6,2025,229,https://www.cityroomrentals.co.uk/property/headrow-court/
32,The Priory,LS2 9NG,"Springfield Mount, 利兹 LS2 9NG, 英国",53.799433,-1.550297,3.4,11,2022,220,https://prestigestudentliving.com/student-accommodation/leeds/the-priory
33,Oxley Residence,LS16 8HL,"Weetwood Lane, 利兹 LS16 8HL, 英国",53.804814,-1.559122,4.5,4,2010,79,https://accommodation.leeds.ac.uk/directory_record/14/oxley-residences
34,26 Great George Street,LS1 3DL,"26 Great George Street, 利兹 LS1 3DL, 英国",53.835771,-1.587699,5,1,2024,237,https://amberstudent.com/
35,The Terry Frost Building,LS7 1EH,"Whitelock Street, 利兹 LS7 1EH, 英国",53.801756,-1.553825,4.9,29,2023,149,https://prestigestudentliving.com/student-accommodation/leeds/the-terry-frost-building/classic-ensuite
36,The Tannery,LS3 1AF,"Cavendish Street, 利兹 LS3 1AF, 英国",53.804872,-1.534143,4.6,22,2012,128,https://wearehomesforstudents.com/student-accommodation/leeds/the-tannery
37,The Foundry,LS3 1BN,"Cavendish Street, 利兹 LS3 1BN, 英国",53.800119,-1.56318,4.7,10,2018,140,https://wearehomesforstudents.com/student-accommodation/leeds/the-foundry
